batch_id,supplier_batch_label,supplier_id,part_id,quantity,manufacture_date,qc_pass_rate,weight_mean_g,weight_std_g,lead_time_days,batch_cost_usd,is_anomalous,anomaly_type,production_shift,operator_id,temperature_c,humidity_pct,material_lot,inspection_level,storage_location
BATCH-000017,LOT-7787-17,SUPP-001,PART-001,2254,2024-02-15T00:00:00,0.8443,85412.633,2.387,58,3893020.33,False,none,night,OP-089,21.657367283612828,43.69667962516498,MAT-8052,Standard,WH-C-49
BATCH-000018,LOT-8285-18,SUPP-001,PART-001,3376,2023-05-13T00:00:00,0.8496,84737.585,2.343,57,6354891.22,False,none,day,OP-086,22.154769983862032,63.81231551141549,MAT-1009,Standard,WH-A-42
BATCH-000019,LOT-1482-19,SUPP-001,PART-001,4049,2024-08-28T00:00:00,0.8783,85437.256,3.183,52,7257366.91,False,none,night,OP-033,19.51717860063543,42.871436665604854,MAT-3852,Standard,WH-C-32
BATCH-000020,LOT-7602-20,SUPP-001,PART-001,4841,2023-04-14T00:00:00,0.8678,85242.162,2.05,49,8914745.56,False,none,evening,OP-024,18.898760026178877,43.12328948152499,MAT-2241,Standard,WH-C-45
BATCH-000021,LOT-5255-21,SUPP-001,PART-001,2349,2022-08-22T00:00:00,0.8478,84565.465,3.412,47,4048768.31,False,none,day,OP-008,24.160553612930208,59.52632107141582,MAT-8979,Standard,WH-C-22
BATCH-000022,LOT-4374-22,SUPP-001,PART-001,3537,2024-05-24T00:00:00,0.8472,85883.977,2.532,46,6664490.82,False,none,day,OP-055,21.75079379131157,42.90029348940159,MAT-1632,Enhanced,WH-A-16
BATCH-000023,LOT-7549-23,SUPP-001,PART-001,2224,2024-08-18T00:00:00,0.8284,85367.76,1.353,63,3842528.47,False,none,night,OP-072,23.286892943477653,43.831404509057045,MAT-3785,Standard,WH-A-23
BATCH-000024,LOT-9453-24,SUPP-001,PART-001,4909,2024-04-20T00:00:00,0.8767,85324.741,1.479,46,9171546.66,False,none,evening,OP-022,21.478744380340814,69.76474044469938,MAT-9435,Standard,WH-C-49
BATCH-000025,LOT-5225-25,SUPP-001,PART-001,4505,2023-08-30T00:00:00,0.8357,85245.7,1.629,45,7848932.72,False,none,evening,OP-082,24.70126021526211,57.19124286792548,MAT-6656,Standard,WH-A-33
BATCH-000026,LOT-3964-26,SUPP-001,PART-001,4362,2024-09-26T00:00:00,0.8844,84777.979,3.388,55,7752207.45,False,none,night,OP-068,18.94616402408376,68.89345334767522,MAT-8179,Reduced,WH-A-31
BATCH-000027,LOT-7488-27,SUPP-001,PART-001,1501,2024-03-17T00:00:00,0.7168,79457.789,1.072,61,2620085.26,True,process_deviation,night,OP-011,23.27977481040704,58.584932542227634,MAT-9648,Standard,WH-A-35
BATCH-000028,LOT-8870-28,SUPP-001,PART-001,2018,2023-10-23T00:00:00,0.8578,84347.923,2.684,48,3607697.83,False,none,night,OP-099,20.57431545614103,52.42389257586781,MAT-2549,Standard,WH-A-22
BATCH-000029,LOT-7356-01,SUPP-001,PART-002,1504,2023-09-01T00:00:00,0.8681,25114.054,1.164,47,6655582.09,False,none,night,OP-085,19.39199394442707,41.938500395322585,MAT-1671,Standard,WH-C-49
BATCH-000030,LOT-3672-02,SUPP-001,PART-002,3059,2024-03-26T00:00:00,0.8418,25136.444,2.649,48,13783745.61,False,none,day,OP-064,23.508323703787067,49.46220687244038,MAT-7272,Enhanced,WH-A-33
BATCH-000031,LOT-4926-03,SUPP-001,PART-002,4450,2023-11-08T00:00:00,0.8809,25066.627,2.728,57,21058938.56,False,none,day,OP-083,18.73985435934392,69.64825813000394,MAT-7230,Standard,WH-A-08
BATCH-000032,LOT-9754-04,SUPP-001,PART-002,699,2023-08-19T00:00:00,0.6981,24711.582,5.846,61,3235309.6,True,quantity_variance,evening,OP-058,18.688769547993783,59.80908159104014,MAT-6439,Standard,WH-C-32
BATCH-000033,LOT-9569-05,SUPP-001,PART-002,3919,2024-03-27T00:00:00,0.8278,24716.014,1.394,46,18341210.44,False,none,evening,OP-062,24.270702181603173,49.66646510333885,MAT-4747,Standard,WH-B-13
BATCH-000034,LOT-3461-06,SUPP-001,PART-002,1854,2024-08-18T00:00:00,0.8407,24869.399,2.038,60,8819105.56,False,none,day,OP-044,19.382293429019562,66.60774700627809,MAT-8031,Reduced,WH-B-32
BATCH-000035,LOT-9789-07,SUPP-001,PART-002,2330,2023-10-21T00:00:00,0.8859,24754.205,3.119,56,10906497.54,False,none,night,OP-089,24.561716465479833,41.29521207391035,MAT-4537,Standard,WH-A-15
BATCH-000036,LOT-8295-08,SUPP-001,PART-002,4412,2023-09-18T00:00:00,0.8727,25082.501,0.871,49,20251658.15,False,none,day,OP-008,21.23090232093853,40.2799485948128,MAT-7272,Enhanced,WH-C-01
BATCH-000037,LOT-6132-09,SUPP-001,PART-002,2397,2023-01-03T00:00:00,0.8761,25179.406,2.652,44,10760389.42,False,none,day,OP-036,18.03660729480039,62.829722800842816,MAT-4083,Enhanced,WH-B-34
BATCH-000038,LOT-3023-10,SUPP-001,PART-002,4499,2024-08-08T00:00:00,0.8503,25151.342,1.26,47,20826970.06,False,none,evening,OP-021,18.203499662407676,45.00655353564613,MAT-2080,Standard,WH-A-07
BATCH-000039,LOT-4390-11,SUPP-001,PART-002,2464,2024-04-06T00:00:00,0.8634,25077.38,2.868,60,11338111.1,False,none,night,OP-083,18.409856504707854,50.027149560881824,MAT-1541,Reduced,WH-A-31
BATCH-000040,LOT-2283-12,SUPP-001,PART-002,2593,2024-08-12T00:00:00,0.8495,25096.637,1.548,43,11718046.15,False,none,evening,OP-091,22.801378897349046,69.73379295463911,MAT-3171,Standard,WH-A-26
BATCH-000041,LOT-3610-13,SUPP-001,PART-002,2227,2023-06-22T00:00:00,0.8771,25110.277,1.456,59,10579738.99,False,none,day,OP-019,19.815077312060417,52.88970438216805,MAT-8999,Standard,WH-A-21
BATCH-000042,LOT-2431-14,SUPP-001,PART-002,2079,2024-03-09T00:00:00,0.8818,24965.721,3.729,46,9009003.29,False,none,night,OP-030,18.254013358294515,48.27159559286657,MAT-2974,Enhanced,WH-B-16
BATCH-000043,LOT-1689-15,SUPP-001,PART-002,1711,2024-03-17T00:00:00,0.83,24875.086,2.669,53,7512412.46,False,none,day,OP-091,20.4314032838119,66.99500037061817,MAT-1671,Standard,WH-C-48
BATCH-000044,LOT-6976-16,SUPP-001,PART-002,2523,2023-08-15T00:00:00,0.886,25055.75,1.169,59,11450762.47,False,none,day,OP-012,20.44654460460773,43.422873546638,MAT-8345,Enhanced,WH-C-42
BATCH-000045,LOT-2517-17,SUPP-001,PART-002,4758,2023-11-13T00:00:00,0.8706,24912.091,0.737,59,21766948.68,False,none,night,OP-098,21.39287400991033,44.97323620489827,MAT-2537,Standard,WH-A-02
BATCH-000046,LOT-3324-18,SUPP-001,PART-002,4416,2023-10-18T00:00:00,0.858,24977.138,0.682,59,19514086.86,False,none,night,OP-068,23.297260539820446,55.58157578511812,MAT-7519,Standard,WH-C-22
BATCH-000047,LOT-8264-19,SUPP-001,PART-002,5193,2022-09-23T00:00:00,0.8604,25171.86,0.83,45,24621975.67,False,none,night,OP-099,18.738315899696413,59.70340314172882,MAT-7744,Standard,WH-C-19
BATCH-000048,LOT-7971-20,SUPP-001,PART-002,1925,2023-03-31T00:00:00,0.8619,25148.518,1.886,58,9116400.57,False,none,night,OP-012,19.16224019391337,58.40419415917529,MAT-1258,Enhanced,WH-C-40
BATCH-000049,LOT-3591-21,SUPP-001,PART-002,4534,2024-07-16T00:00:00,0.846,25067.093,3.295,56,19792033.37,False,none,day,OP-012,23.178112324598786,49.59000497321634,MAT-6248,Standard,WH-C-21
BATCH-000050,LOT-1264-01,SUPP-001,PART-003,2067,2024-02-28T00:00:00,0.7702,397.767,5.071,47,7915620.41,True,process_deviation,night,OP-050,18.775239117232708,62.78747230343895,MAT-8544,Standard,WH-C-44
BATCH-000051,LOT-2098-02,SUPP-001,PART-003,4874,2024-01-24T00:00:00,0.8988,418.813,1.718,57,17271108.07,False,none,day,OP-023,22.34649997234902,50.57124839828963,MAT-7980,Enhanced,WH-B-15
BATCH-000052,LOT-6063-03,SUPP-001,PART-003,2592,2022-11-06T00:00:00,0.897,419.138,1.085,62,9218841.39,False,none,evening,OP-087,18.539546083660223,50.21140278000025,MAT-1441,Standard,WH-B-15
BATCH-000053,LOT-7362-04,SUPP-001,PART-003,4357,2023-02-04T00:00:00,0.9021,421.333,1.411,43,16527140.07,False,none,evening,OP-059,18.77692628449437,53.411666314192765,MAT-3597,Standard,WH-A-08
BATCH-000054,LOT-8789-05,SUPP-001,PART-003,1632,2023-11-23T00:00:00,0.9112,422.33,1.48,58,6091187.5,False,none,evening,OP-003,23.277733325177486,64.14720330524315,MAT-6075,Reduced,WH-B-09
BATCH-000055,LOT-2762-06,SUPP-001,PART-003,4775,2024-04-10T00:00:00,0.8633,419.748,0.661,43,17404809.58,False,none,day,OP-059,23.111723029631023,57.96424889150474,MAT-9259,Enhanced,WH-B-41
BATCH-000056,LOT-2492-07,SUPP-001,PART-003,3552,2023-12-20T00:00:00,0.9038,419.541,0.621,45,12685952.81,False,none,evening,OP-021,18.445486365006495,64.94120543157129,MAT-8851,Standard,WH-A-09
BATCH-000057,LOT-8986-08,SUPP-001,PART-003,1810,2024-09-14T00:00:00,0.8751,423.096,2.607,62,6580623.22,False,none,night,OP-020,23.521615847337518,59.188166835330456,MAT-2846,Standard,WH-B-12
BATCH-000058,LOT-5875-09,SUPP-001,PART-003,3026,2023-12-24T00:00:00,0.8941,419.261,0.748,60,10911434.89,False,none,night,OP-090,24.35166115298993,47.16569981205783,MAT-8616,Standard,WH-A-49
BATCH-000059,LOT-6482-10,SUPP-001,PART-003,2509,2024-06-25T00:00:00,0.9073,418.982,2.12,63,9240019.52,False,none,night,OP-009,23.716775228155026,48.53686905288693,MAT-1855,Standard,WH-C-39
BATCH-000060,LOT-7132-11,SUPP-001,PART-003,2921,2023-03-18T00:00:00,0.8798,421.628,1.976,54,11088627.9,False,none,day,OP-012,22.722254970413513,48.9018292331227,MAT-7246,Reduced,WH-A-08
BATCH-000061,LOT-1935-12,SUPP-001,PART-003,1845,2023-05-23T00:00:00,0.8715,422.26,2.819,47,6490409.92,False,none,day,OP-097,20.829678107509466,49.632432912611506,MAT-6889,Standard,WH-A-10
BATCH-000062,LOT-2628-13,SUPP-001,PART-003,3902,2023-12-21T00:00:00,0.8654,421.244,1.101,48,13725935.67,False,none,night,OP-003,21.737772307834348,44.26411371380373,MAT-5008,Standard,WH-C-43
BATCH-000063,LOT-5020-14,SUPP-001,PART-003,1952,2024-03-18T00:00:00,0.8841,422.201,1.914,55,6976987.22,False,none,night,OP-030,21.124936614811077,63.951410215550574,MAT-2474,Standard,WH-C-41
BATCH-000064,LOT-1006-15,SUPP-001,PART-003,2698,2024-01-09T00:00:00,0.8797,419.296,2.34,44,9536341.53,False,none,day,OP-056,23.333347740926907,68.39933301980639,MAT-6906,Standard,WH-B-28
BATCH-000065,LOT-6744-16,SUPP-001,PART-003,3448,2023-09-24T00:00:00,0.8924,417.408,3.958,43,12109626.78,False,none,day,OP-050,21.399127897615784,40.826101596083966,MAT-1442,Standard,WH-A-04
BATCH-000066,LOT-9036-17,SUPP-001,PART-003,1779,2022-12-23T00:00:00,0.8854,418.756,0.955,47,6801309.9,False,none,evening,OP-087,21.10889399216026,69.84573919177964,MAT-7344,Reduced,WH-A-47
BATCH-000067,LOT-2439-18,SUPP-001,PART-003,3498,2023-02-23T00:00:00,0.888,418.916,3.435,45,12537290.28,False,none,day,OP-051,19.24019647690306,55.22339098359227,MAT-1382,Standard,WH-C-39
BATCH-000068,LOT-3151-19,SUPP-001,PART-003,2992,2023-03-22T00:00:00,0.8685,418.579,3.238,45,11356029.84,False,none,night,OP-024,22.34462335877209,46.039363234673,MAT-3567,Standard,WH-A-37
BATCH-000069,LOT-2960-20,SUPP-001,PART-003,3442,2023-04-02T00:00:00,0.9083,420.647,0.937,59,12812837.06,False,none,night,OP-012,24.787254087936667,68.47336429268321,MAT-5761,Reduced,WH-B-36
BATCH-000070,LOT-5699-21,SUPP-001,PART-003,2900,2022-11-25T00:00:00,0.8778,419.178,3.04,63,11113333.08,False,none,evening,OP-047,23.351694562583024,57.205868543667194,MAT-1364,Standard,WH-C-09
BATCH-000071,LOT-5117-22,SUPP-001,PART-003,2406,2022-09-27T00:00:00,0.9091,421.246,2.693,58,9028327.1,False,none,day,OP-086,23.058948703887598,60.77597294611324,MAT-6929,Standard,WH-A-16
BATCH-000072,LOT-2088-23,SUPP-001,PART-003,4851,2024-09-04T00:00:00,0.6746,389.126,5.099,49,16854474.92,True,environmental_factor,day,OP-037,23.183332923674634,44.28550861902516,MAT-9068,Enhanced,WH-A-01
BATCH-000073,LOT-3130-24,SUPP-001,PART-003,3389,2024-10-17T00:00:00,0.8973,424.43,2.52,44,11779526.85,False,none,evening,OP-016,22.77224050863113,43.38794928058034,MAT-8913,Standard,WH-B-02
BATCH-000074,LOT-3368-25,SUPP-001,PART-003,2504,2023-09-10T00:00:00,0.8736,421.648,1.033,49,9134067.18,False,none,day,OP-030,24.852867806223664,58.104792881301364,MAT-8480,Enhanced,WH-C-17
BATCH-000075,LOT-7846-26,SUPP-001,PART-003,4322,2024-09-01T00:00:00,0.8971,421.695,3.379,57,15885953.94,False,none,day,OP-059,23.42742305282195,48.142281413401435,MAT-7046,Standard,WH-B-34
BATCH-000076,LOT-7056-27,SUPP-001,PART-003,2007,2023-07-01T00:00:00,0.8589,417.956,1.467,48,7628807.21,False,none,night,OP-069,24.58313954015321,42.4814638457306,MAT-9859,Standard,WH-A-43
BATCH-000077,LOT-8094-28,SUPP-001,PART-003,4557,2024-01-04T00:00:00,0.9107,420.82,0.813,43,17379003.42,False,none,night,OP-047,19.16867162123039,61.391381519029565,MAT-4607,Enhanced,WH-A-04
BATCH-000078,LOT-6672-29,SUPP-001,PART-003,4333,2023-06-30T00:00:00,0.8624,419.783,2.245,49,15843842.74,False,none,evening,OP-047,18.776842672096038,59.032724358597505,MAT-9418,Standard,WH-C-41
BATCH-000079,LOT-9967-01,SUPP-001,PART-004,2908,2024-04-17T00:00:00,0.88,22073.753,2.627,44,7424166.52,False,none,evening,OP-036,23.170182206926313,49.4688203129005,MAT-4220,Standard,WH-B-01
BATCH-000080,LOT-4748-02,SUPP-001,PART-004,1640,2023-10-22T00:00:00,0.8598,21882.096,0.85,52,4026130.14,False,none,night,OP-024,23.867857516819935,61.281489012621726,MAT-5493,Standard,WH-A-03
BATCH-000081,LOT-3745-03,SUPP-001,PART-004,1561,2024-01-28T00:00:00,0.8297,22155.306,2.092,58,4137576.48,False,none,evening,OP-053,18.534694614940193,51.477409707119065,MAT-3792,Standard,WH-B-07
BATCH-000082,LOT-4718-04,SUPP-001,PART-004,3237,2022-11-08T00:00:00,0.8615,21939.4,2.488,63,8474349.2,False,none,evening,OP-051,18.165164752518702,66.95681814024518,MAT-9835,Enhanced,WH-A-41
BATCH-000083,LOT-8659-05,SUPP-001,PART-004,1512,2024-09-26T00:00:00,0.8847,22002.298,3.87,51,3786131.14,False,none,evening,OP-057,22.356895490961975,63.43965567241915,MAT-8468,Standard,WH-A-08
BATCH-000084,LOT-8763-06,SUPP-001,PART-004,2723,2024-07-26T00:00:00,0.8707,22025.377,2.386,51,7159306.85,False,none,day,OP-075,18.311946764140753,52.469265600577174,MAT-2946,Enhanced,WH-A-21
BATCH-000085,LOT-7474-07,SUPP-001,PART-004,3434,2024-10-06T00:00:00,0.8609,21993.663,3.642,54,9164805.58,False,none,day,OP-050,23.97649445193267,47.25931390951136,MAT-3743,Enhanced,WH-B-12
BATCH-000086,LOT-9436-08,SUPP-001,PART-004,2176,2024-02-25T00:00:00,0.65,22494.225,5.516,44,5725801.82,True,quality_degradation,night,OP-034,23.301171449941073,44.850143087108854,MAT-9199,Enhanced,WH-C-30
BATCH-000087,LOT-9148-09,SUPP-001,PART-004,3362,2024-07-06T00:00:00,0.8634,22050.979,1.819,52,8938907.92,False,none,night,OP-066,21.60278531985007,64.24826318667813,MAT-5444,Standard,WH-A-45
BATCH-000088,LOT-8778-10,SUPP-001,PART-004,4729,2022-09-23T00:00:00,0.8729,22060.117,1.801,62,11702260.62,False,none,day,OP-091,19.928835574536382,58.661186871129814,MAT-9307,Standard,WH-A-27
BATCH-000089,LOT-3871-11,SUPP-001,PART-004,4712,2024-03-05T00:00:00,0.8576,21955.226,3.827,47,12424234.48,False,none,evening,OP-021,21.616888696583874,62.76328761271975,MAT-2132,Standard,WH-C-07
BATCH-000090,LOT-1614-12,SUPP-001,PART-004,4422,2024-07-06T00:00:00,0.8395,22075.495,2.569,51,11176431.0,False,none,night,OP-028,22.452297281459778,50.93062715284696,MAT-1270,Enhanced,WH-A-03
BATCH-000091,LOT-5276-13,SUPP-001,PART-004,2823,2024-01-12T00:00:00,0.8798,21804.355,1.988,47,7205040.4,False,none,night,OP-041,18.000081443287563,52.49697485446877,MAT-6445,Standard,WH-B-40
BATCH-000092,LOT-2849-14,SUPP-001,PART-004,4652,2024-03-18T00:00:00,0.65,22140.647,4.645,47,12313933.88,True,quality_degradation,night,OP-030,20.27706593816122,61.378639992955385,MAT-1205,Standard,WH-C-47
BATCH-000093,LOT-9712-15,SUPP-001,PART-004,2916,2024-10-03T00:00:00,0.8501,22164.711,0.572,44,7734931.72,False,none,day,OP-011,22.399038331932992,54.456024378238496,MAT-3832,Standard,WH-C-25
BATCH-000094,LOT-2914-16,SUPP-001,PART-004,3859,2023-12-15T00:00:00,0.8832,21944.499,3.396,50,9638469.58,False,none,night,OP-001,18.85421346025294,43.75375771425241,MAT-1508,Enhanced,WH-A-34
BATCH-000095,LOT-4171-17,SUPP-001,PART-004,2476,2023-08-05T00:00:00,0.8343,22081.111,2.024,43,6268399.04,False,none,night,OP-083,23.475198841638722,43.73148493723973,MAT-5173,Enhanced,WH-B-34
BATCH-000096,LOT-1389-18,SUPP-001,PART-004,4591,2023-01-22T00:00:00,0.8597,22125.525,2.004,47,12104354.87,False,none,day,OP-064,23.000875345386188,68.5740135006354,MAT-4663,Standard,WH-B-25
BATCH-000097,LOT-5595-19,SUPP-001,PART-004,4833,2024-03-22T00:00:00,0.8315,22046.873,3.477,61,12629593.34,False,none,day,OP-012,20.013429103305747,49.203297985664236,MAT-1139,Standard,WH-A-05
BATCH-000098,LOT-8846-20,SUPP-001,PART-004,4410,2024-06-25T00:00:00,0.8472,21979.849,2.871,44,11043360.63,False,none,day,OP-013,23.494032760712162,62.00460239476311,MAT-7358,Standard,WH-B-29
BATCH-000099,LOT-4802-21,SUPP-001,PART-004,3029,2022-12-18T00:00:00,0.8542,22042.699,2.444,60,7975216.52,False,none,day,OP-076,18.518295525386435,58.16448007643214,MAT-7241,Standard,WH-B-24
BATCH-000100,LOT-4554-22,SUPP-001,PART-004,1921,2024-08-04T00:00:00,0.845,22004.26,0.822,54,4935709.82,False,none,evening,OP-066,19.871814195002788,40.453320526434254,MAT-2742,Standard,WH-A-33
BATCH-000101,LOT-2271-23,SUPP-001,PART-004,2331,2024-06-20T00:00:00,0.6738,22948.346,4.617,58,5717687.42,True,quality_degradation,night,OP-098,20.614883607333773,41.51466833237224,MAT-5396,Standard,WH-A-09
BATCH-000102,LOT-3101-24,SUPP-001,PART-004,4526,2024-03-24T00:00:00,0.8401,21892.468,2.827,52,11103694.37,False,none,night,OP-035,24.230399178256768,42.52903943834051,MAT-4676,Standard,WH-C-26
BATCH-000103,LOT-7136-25,SUPP-001,PART-004,4139,2023-08-13T00:00:00,0.8327,22032.365,3.086,57,10176885.51,False,none,night,OP-069,18.540016179777073,67.33504855540238,MAT-9252,Standard,WH-B-33
BATCH-000104,LOT-1869-26,SUPP-001,PART-004,4560,2023-05-02T00:00:00,0.8832,21974.215,2.405,56,11644939.62,False,none,day,OP-091,21.65014316916816,42.05376158000734,MAT-1489,Standard,WH-A-06
BATCH-000105,LOT-6738-27,SUPP-001,PART-004,4840,2024-10-01T00:00:00,0.8745,22235.552,1.369,48,12397635.21,False,none,day,OP-079,18.448044426260346,64.74229712041023,MAT-8829,Enhanced,WH-B-13
BATCH-000106,LOT-2637-28,SUPP-001,PART-004,1527,2024-02-18T00:00:00,0.8731,21917.434,1.934,60,3903986.13,False,none,night,OP-085,19.123238299898585,42.114758369294336,MAT-3761,Enhanced,WH-B-07
BATCH-000107,LOT-3591-29,SUPP-001,PART-004,5269,2024-08-16T00:00:00,0.7366,23233.946,1.152,55,13333641.62,True,timing_issue,evening,OP-096,23.50450413143037,58.966497932618466,MAT-2200,Standard,WH-C-16
BATCH-000108,LOT-7968-01,SUPP-001,PART-005,3177,2023-12-20T00:00:00,0.9326,1188.086,3.595,54,11824548.26,False,none,evening,OP-086,20.071600222010595,53.77567701197685,MAT-3700,Enhanced,WH-C-48
BATCH-000109,LOT-5729-02,SUPP-001,PART-005,3832,2022-11-16T00:00:00,0.9028,1187.632,1.95,52,14293934.86,False,none,night,OP-036,18.828905274231523,46.35682991320327,MAT-8178,Standard,WH-C-47
BATCH-000110,LOT-7318-03,SUPP-001,PART-005,4795,2023-01-10T00:00:00,0.9099,1203.306,2.001,61,17536874.79,False,none,night,OP-065,19.425669964408794,49.826564955403974,MAT-5236,Enhanced,WH-B-29
BATCH-000111,LOT-1192-04,SUPP-001,PART-005,4908,2023-05-15T00:00:00,0.9265,1197.163,3.635,49,18115931.66,False,none,day,OP-062,23.54930679500969,42.07137718943799,MAT-2788,Standard,WH-A-43
BATCH-000112,LOT-7773-05,SUPP-001,PART-005,4152,2023-08-03T00:00:00,0.9129,1192.293,3.56,51,14895974.64,False,none,day,OP-071,21.159058791204785,45.50326589210304,MAT-6057,Standard,WH-C-03
BATCH-000113,LOT-5780-06,SUPP-001,PART-005,4679,2023-09-02T00:00:00,0.8875,1191.971,3.101,57,16083051.49,False,none,night,OP-066,21.59357747157441,69.67653261873251,MAT-1531,Reduced,WH-C-42
BATCH-000114,LOT-4306-07,SUPP-001,PART-005,3560,2023-02-18T00:00:00,0.9128,1199.477,3.03,53,13340253.06,False,none,night,OP-062,23.89627853324954,51.19723469137701,MAT-1670,Enhanced,WH-A-15
BATCH-000115,LOT-2925-08,SUPP-001,PART-005,4330,2023-11-13T00:00:00,0.9256,1204.012,1.853,51,15319676.0,False,none,day,OP-058,24.35759942090226,62.76145963491762,MAT-2812,Standard,WH-B-37
BATCH-000116,LOT-2629-09,SUPP-001,PART-005,2767,2024-01-25T00:00:00,0.8971,1194.492,1.598,50,10041072.26,False,none,night,OP-076,23.070410844306778,62.37260137228378,MAT-6455,Standard,WH-B-12
BATCH-000117,LOT-1922-10,SUPP-001,PART-005,3416,2024-02-11T00:00:00,0.9413,1191.468,1.443,63,12512646.92,False,none,evening,OP-022,18.441982050491738,63.30371450221681,MAT-2230,Enhanced,WH-C-06
BATCH-000118,LOT-3875-11,SUPP-001,PART-005,2875,2024-05-13T00:00:00,0.9008,1206.63,1.953,45,10664954.05,False,none,night,OP-050,23.486406723120744,52.869547955226714,MAT-1365,Enhanced,WH-C-29
BATCH-000119,LOT-8002-12,SUPP-001,PART-005,4298,2024-06-17T00:00:00,0.889,1206.968,3.323,52,14679482.88,False,none,evening,OP-095,18.2824557880179,52.335745539837575,MAT-3850,Standard,WH-C-21
BATCH-000120,LOT-8609-13,SUPP-001,PART-005,2668,2024-09-11T00:00:00,0.65,1180.53,4.752,57,9597326.22,True,quality_degradation,evening,OP-003,22.37229833680172,65.93299740605093,MAT-1067,Reduced,WH-C-19
BATCH-000121,LOT-3827-14,SUPP-001,PART-005,2508,2024-01-11T00:00:00,0.9077,1208.34,2.716,47,9457916.67,False,none,night,OP-004,24.027317096523184,53.8350070376173,MAT-8845,Standard,WH-C-32
