vin,model,segment,color,trim_level,engine_type,assembly_date,assembly_shift,assembly_line,target_market,planned_delivery_date,msrp_usd,production_sequence,quality_gate_passed
VIN100070,LuxurySUV-L4,Premium SUV,Blue,Sport,ICE,2024-01-02T00:00:00,night,Line_2,Premium Export,2024-01-29T00:00:00,83839,70,True
VIN100071,FamilySUV-M3,SUV,White,Sport,ICE,2024-03-10T00:00:00,day,Line_2,Export,2024-04-18T00:00:00,111388,71,True
VIN100072,SportSedan-S2,Mid-size,White,Base,ICE,2024-07-25T00:00:00,day,Line_2,Domestic,2024-08-28T00:00:00,63960,72,True
VIN100073,CityHatch-C5,Compact,White,Luxury,Hybrid,2024-12-23T00:00:00,day,Line_2,Domestic,2025-01-12T00:00:00,76071,73,True
VIN100074,FamilySUV-M3,SUV,Red,Sport,ICE,2024-07-09T00:00:00,day,Line_1,Export,2024-08-12T00:00:00,109873,74,True
VIN100075,CityHatch-C5,Compact,Blue,Sport,ICE,2024-10-20T00:00:00,evening,Line_2,Domestic,2024-11-09T00:00:00,67309,75,True
VIN100076,CityHatch-C5,Compact,Silver,Base,Hybrid,2024-04-08T00:00:00,day,Line_2,Domestic,2024-05-06T00:00:00,86420,76,True
VIN100077,FamilySUV-M3,SUV,Red,Base,ICE,2024-03-27T00:00:00,evening,Line_1,Domestic,2024-05-10T00:00:00,53318,77,True
VIN100078,SportSedan-S2,Mid-size,Silver,Luxury,ICE,2024-07-22T00:00:00,night,Line_2,Domestic,2024-08-27T00:00:00,71398,78,True
VIN100079,EcoSedan-X1,Compact,Other,Luxury,ICE,2024-07-23T00:00:00,night,Line_1,Domestic,2024-08-07T00:00:00,73991,79,True
VIN100080,FamilySUV-M3,SUV,Gray,Sport,Hybrid,2024-11-04T00:00:00,night,Line_1,Domestic,2024-11-24T00:00:00,53751,80,True
VIN100081,CityHatch-C5,Compact,White,Premium,ICE,2024-05-31T00:00:00,day,Line_1,Domestic,2024-07-04T00:00:00,45926,81,True
VIN100082,CityHatch-C5,Compact,Gray,Luxury,ICE,2024-05-25T00:00:00,day,Line_2,Domestic,2024-06-08T00:00:00,35744,82,True
VIN100083,SportSedan-S2,Mid-size,Black,Sport,ICE,2024-05-25T00:00:00,night,Line_1,Premium Export,2024-06-15T00:00:00,70968,83,True
VIN100084,EcoSedan-X1,Compact,Gray,Sport,ICE,2024-10-17T00:00:00,night,Line_1,Export,2024-10-31T00:00:00,51723,84,True
VIN100085,SportSedan-S2,Mid-size,Gray,Luxury,ICE,2024-05-17T00:00:00,evening,Line_2,Premium Export,2024-06-27T00:00:00,105512,85,True
VIN100086,EcoSedan-X1,Compact,Gray,Base,ICE,2024-05-22T00:00:00,evening,Line_2,Domestic,2024-06-11T00:00:00,99188,86,True
VIN100087,LuxurySUV-L4,Premium SUV,Gray,Luxury,ICE,2024-03-20T00:00:00,evening,Line_2,Premium Export,2024-04-08T00:00:00,128722,87,True
VIN100088,EcoSedan-X1,Compact,White,Sport,ICE,2024-07-26T00:00:00,night,Line_1,Export,2024-08-16T00:00:00,60862,88,True
VIN100089,WorkTruck-T6,Commercial,White,Luxury,ICE,2024-04-10T00:00:00,day,Line_2,Commercial Export,2024-04-25T00:00:00,76672,89,True
VIN100090,WorkTruck-T6,Commercial,Silver,Base,ICE,2024-06-05T00:00:00,evening,Line_1,Commercial Export,2024-06-27T00:00:00,69431,90,True
VIN100091,EcoSedan-X1,Compact,White,Sport,ICE,2024-07-04T00:00:00,evening,Line_1,Export,2024-08-05T00:00:00,58065,91,True
VIN100092,CityHatch-C5,Compact,White,Luxury,ICE,2024-12-06T00:00:00,night,Line_2,Domestic,2024-12-29T00:00:00,68215,92,True
VIN100093,FamilySUV-M3,SUV,Blue,Sport,ICE,2024-01-16T00:00:00,night,Line_1,Domestic,2024-02-22T00:00:00,108957,93,True
VIN100094,CityHatch-C5,Compact,Black,Sport,ICE,2024-10-24T00:00:00,night,Line_2,Domestic,2024-11-25T00:00:00,42444,94,True
VIN100095,SportSedan-S2,Mid-size,White,Base,ICE,2024-03-27T00:00:00,day,Line_1,Domestic,2024-04-20T00:00:00,111082,95,True
VIN100096,EcoSedan-X1,Compact,Black,Sport,ICE,2024-12-03T00:00:00,day,Line_1,Domestic,2025-01-09T00:00:00,43325,96,True
VIN100097,SportSedan-S2,Mid-size,Blue,Luxury,ICE,2024-02-05T00:00:00,night,Line_2,Premium Export,2024-03-12T00:00:00,68488,97,True
VIN100098,EcoSedan-X1,Compact,White,Premium,ICE,2024-11-02T00:00:00,day,Line_1,Export,2024-11-26T00:00:00,52340,98,True
VIN100099,EcoSedan-X1,Compact,Red,Sport,ICE,2024-06-14T00:00:00,night,Line_2,Export,2024-07-28T00:00:00,73858,99,True
VIN100100,FamilySUV-M3,SUV,Gray,Base,Hybrid,2024-12-01T00:00:00,day,Line_2,Export,2025-01-05T00:00:00,115234,100,True
VIN100101,WorkTruck-T6,Commercial,Gray,Sport,ICE,2024-01-31T00:00:00,evening,Line_1,Commercial Export,2024-03-10T00:00:00,47972,101,True
VIN100102,CityHatch-C5,Compact,Brown,Sport,ICE,2024-11-01T00:00:00,evening,Line_1,Domestic,2024-11-20T00:00:00,77651,102,True
VIN100103,FamilySUV-M3,SUV,Silver,Luxury,ICE,2024-05-24T00:00:00,night,Line_2,Domestic,2024-06-26T00:00:00,112481,103,True
VIN100104,EcoSedan-X1,Compact,Silver,Sport,ICE,2024-01-22T00:00:00,night,Line_2,Domestic,2024-02-17T00:00:00,96463,104,True
VIN100105,FamilySUV-M3,SUV,White,Base,ICE,2024-07-17T00:00:00,day,Line_1,Export,2024-08-27T00:00:00,116374,105,True
VIN100106,CityHatch-C5,Compact,White,Sport,Hybrid,2024-11-14T00:00:00,evening,Line_2,Domestic,2024-12-16T00:00:00,69226,106,True
VIN100107,LuxurySUV-L4,Premium SUV,White,Premium,ICE,2024-06-13T00:00:00,day,Line_2,Premium Export,2024-07-07T00:00:00,111982,107,True
VIN100108,CityHatch-C5,Compact,Blue,Luxury,ICE,2024-06-08T00:00:00,evening,Line_2,Domestic,2024-07-09T00:00:00,67526,108,True
VIN100109,WorkTruck-T6,Commercial,Black,Sport,ICE,2024-05-06T00:00:00,evening,Line_2,Domestic,2024-05-20T00:00:00,58611,109,True
VIN100110,WorkTruck-T6,Commercial,Black,Base,Hybrid,2024-08-12T00:00:00,night,Line_1,Domestic,2024-09-02T00:00:00,101507,110,True
VIN100111,CityHatch-C5,Compact,Gray,Sport,ICE,2024-12-14T00:00:00,night,Line_1,Domestic,2025-01-20T00:00:00,42043,111,True
VIN100112,SportSedan-S2,Mid-size,Green,Luxury,ICE,2024-03-30T00:00:00,day,Line_2,Domestic,2024-04-21T00:00:00,60586,112,True
VIN100113,EcoSedan-X1,Compact,Black,Base,ICE,2024-08-26T00:00:00,evening,Line_2,Export,2024-10-04T00:00:00,72964,113,True
VIN100114,SportSedan-S2,Mid-size,Red,Luxury,ICE,2024-07-13T00:00:00,night,Line_2,Premium Export,2024-07-30T00:00:00,100865,114,True
VIN100115,CityHatch-C5,Compact,White,Sport,ICE,2024-07-02T00:00:00,day,Line_2,Domestic,2024-08-04T00:00:00,85194,115,True
VIN100116,CityHatch-C5,Compact,Silver,Base,Electric,2024-11-28T00:00:00,night,Line_1,Domestic,2025-01-09T00:00:00,74574,116,True
VIN100117,CityHatch-C5,Compact,Black,Base,Hybrid,2024-11-03T00:00:00,night,Line_1,Domestic,2024-12-11T00:00:00,47482,117,True
VIN100118,WorkTruck-T6,Commercial,Black,Premium,Hybrid,2024-06-23T00:00:00,day,Line_2,Commercial Export,2024-07-15T00:00:00,91548,118,True
VIN100119,WorkTruck-T6,Commercial,Gray,Base,ICE,2024-02-07T00:00:00,night,Line_2,Commercial Export,2024-03-21T00:00:00,88367,119,True
VIN100120,CityHatch-C5,Compact,White,Sport,ICE,2024-08-02T00:00:00,night,Line_1,Domestic,2024-09-01T00:00:00,82031,120,True
VIN100121,LuxurySUV-L4,Premium SUV,Black,Sport,Hybrid,2024-09-17T00:00:00,night,Line_1,Premium Export,2024-10-05T00:00:00,82837,121,True
VIN100122,CityHatch-C5,Compact,Black,Base,ICE,2024-01-04T00:00:00,day,Line_1,Domestic,2024-02-15T00:00:00,51515,122,True
VIN100123,CityHatch-C5,Compact,Silver,Base,ICE,2024-12-15T00:00:00,evening,Line_1,Domestic,2025-01-08T00:00:00,60050,123,True
VIN100124,SportSedan-S2,Mid-size,Red,Base,ICE,2024-06-21T00:00:00,night,Line_1,Premium Export,2024-07-28T00:00:00,87215,124,True
VIN100125,SportSedan-S2,Mid-size,Gray,Premium,ICE,2024-10-14T00:00:00,night,Line_1,Premium Export,2024-11-18T00:00:00,75821,125,True
VIN100126,FamilySUV-M3,SUV,Black,Sport,ICE,2024-07-10T00:00:00,night,Line_2,Domestic,2024-08-17T00:00:00,73295,126,True
VIN100127,EcoSedan-X1,Compact,Red,Luxury,ICE,2024-04-27T00:00:00,evening,Line_1,Export,2024-06-07T00:00:00,83921,127,True
VIN100128,CityHatch-C5,Compact,Silver,Luxury,ICE,2024-11-20T00:00:00,evening,Line_2,Domestic,2024-12-20T00:00:00,61503,128,True
VIN100129,WorkTruck-T6,Commercial,Red,Sport,Hybrid,2024-05-03T00:00:00,day,Line_1,Commercial Export,2024-06-11T00:00:00,96734,129,True
VIN100130,SportSedan-S2,Mid-size,White,Luxury,Hybrid,2024-12-24T00:00:00,night,Line_1,Premium Export,2025-01-11T00:00:00,51602,130,True
VIN100131,FamilySUV-M3,SUV,White,Premium,Hybrid,2024-06-09T00:00:00,night,Line_2,Export,2024-06-30T00:00:00,113929,131,True
VIN100132,SportSedan-S2,Mid-size,Black,Luxury,Hybrid,2024-01-28T00:00:00,evening,Line_2,Domestic,2024-02-21T00:00:00,65909,132,True
VIN100133,SportSedan-S2,Mid-size,Silver,Base,ICE,2024-05-31T00:00:00,night,Line_2,Premium Export,2024-07-03T00:00:00,76307,133,True
VIN100134,LuxurySUV-L4,Premium SUV,Green,Sport,ICE,2024-02-11T00:00:00,night,Line_2,Premium Export,2024-03-05T00:00:00,128301,134,True
VIN100135,FamilySUV-M3,SUV,Gray,Sport,ICE,2024-05-10T00:00:00,day,Line_2,Domestic,2024-06-16T00:00:00,82389,135,True
VIN100136,SportSedan-S2,Mid-size,Black,Luxury,ICE,2024-06-28T00:00:00,day,Line_2,Domestic,2024-07-29T00:00:00,57173,136,True
VIN100137,FamilySUV-M3,SUV,White,Sport,Hybrid,2024-08-21T00:00:00,night,Line_2,Domestic,2024-09-09T00:00:00,108819,137,True
VIN100138,CityHatch-C5,Compact,Black,Luxury,ICE,2024-11-23T00:00:00,day,Line_2,Domestic,2024-12-20T00:00:00,46757,138,True
VIN100139,FamilySUV-M3,SUV,Silver,Base,ICE,2024-02-16T00:00:00,day,Line_1,Domestic,2024-03-24T00:00:00,81223,139,True
VIN100140,CityHatch-C5,Compact,Brown,Base,Hybrid,2024-08-13T00:00:00,night,Line_2,Domestic,2024-09-22T00:00:00,42271,140,True
VIN100141,CityHatch-C5,Compact,Red,Sport,Hybrid,2024-07-23T00:00:00,day,Line_2,Domestic,2024-08-28T00:00:00,47041,141,True
VIN100142,EcoSedan-X1,Compact,Gray,Sport,Hybrid,2024-02-29T00:00:00,day,Line_2,Domestic,2024-04-09T00:00:00,72987,142,True
VIN100143,LuxurySUV-L4,Premium SUV,White,Base,ICE,2024-02-07T00:00:00,day,Line_1,Premium Export,2024-03-14T00:00:00,128548,143,True
VIN100144,EcoSedan-X1,Compact,White,Base,ICE,2024-07-03T00:00:00,evening,Line_1,Domestic,2024-08-04T00:00:00,57661,144,True
VIN100145,WorkTruck-T6,Commercial,White,Luxury,ICE,2024-06-26T00:00:00,night,Line_1,Domestic,2024-07-10T00:00:00,44690,145,True
VIN100146,CityHatch-C5,Compact,White,Sport,ICE,2024-04-30T00:00:00,night,Line_1,Domestic,2024-06-07T00:00:00,40018,146,True
VIN100147,EcoSedan-X1,Compact,Black,Base,ICE,2024-03-02T00:00:00,day,Line_2,Export,2024-04-14T00:00:00,45118,147,True
VIN100148,LuxurySUV-L4,Premium SUV,Red,Base,ICE,2024-08-12T00:00:00,evening,Line_2,Premium Export,2024-08-28T00:00:00,124431,148,True
VIN100149,EcoSedan-X1,Compact,White,Luxury,Electric,2024-06-28T00:00:00,night,Line_1,Domestic,2024-08-08T00:00:00,94326,149,True
VIN100150,FamilySUV-M3,SUV,Blue,Base,ICE,2024-06-26T00:00:00,night,Line_1,Export,2024-07-16T00:00:00,53208,150,True
VIN100151,EcoSedan-X1,Compact,Black,Base,ICE,2024-08-13T00:00:00,day,Line_1,Domestic,2024-09-23T00:00:00,75272,151,True
VIN100152,LuxurySUV-L4,Premium SUV,Silver,Luxury,Hybrid,2024-06-17T00:00:00,evening,Line_1,Premium Export,2024-07-28T00:00:00,70779,152,True
VIN100153,FamilySUV-M3,SUV,White,Sport,ICE,2024-08-01T00:00:00,evening,Line_2,Export,2024-08-26T00:00:00,104200,153,True
VIN100154,CityHatch-C5,Compact,White,Base,Hybrid,2024-04-16T00:00:00,evening,Line_1,Domestic,2024-05-01T00:00:00,61398,154,True
VIN100155,LuxurySUV-L4,Premium SUV,Other,Luxury,ICE,2024-10-10T00:00:00,night,Line_1,Premium Export,2024-11-04T00:00:00,64688,155,True
VIN100156,SportSedan-S2,Mid-size,Brown,Base,ICE,2024-01-27T00:00:00,day,Line_2,Premium Export,2024-02-19T00:00:00,74353,156,True
VIN100157,LuxurySUV-L4,Premium SUV,Blue,Base,ICE,2024-02-06T00:00:00,night,Line_1,Premium Export,2024-02-28T00:00:00,121589,157,True
VIN100158,FamilySUV-M3,SUV,Black,Sport,Hybrid,2024-04-08T00:00:00,night,Line_1,Export,2024-05-21T00:00:00,48570,158,True
VIN100159,EcoSedan-X1,Compact,Silver,Sport,ICE,2024-02-23T00:00:00,evening,Line_1,Domestic,2024-03-28T00:00:00,100690,159,True
VIN100160,EcoSedan-X1,Compact,Black,Premium,ICE,2024-10-03T00:00:00,night,Line_1,Domestic,2024-10-20T00:00:00,101887,160,True
VIN100161,CityHatch-C5,Compact,Red,Sport,ICE,2024-11-05T00:00:00,night,Line_1,Domestic,2024-12-19T00:00:00,59630,161,True
VIN100162,SportSedan-S2,Mid-size,Black,Sport,Hybrid,2024-02-27T00:00:00,evening,Line_2,Domestic,2024-03-23T00:00:00,110057,162,True
VIN100163,SportSedan-S2,Mid-size,Silver,Base,ICE,2024-08-17T00:00:00,evening,Line_1,Domestic,2024-09-02T00:00:00,99245,163,True
VIN100164,WorkTruck-T6,Commercial,White,Sport,ICE,2024-09-17T00:00:00,evening,Line_2,Commercial Export,2024-10-09T00:00:00,43995,164,True
VIN100165,CityHatch-C5,Compact,Black,Base,ICE,2024-05-31T00:00:00,day,Line_2,Domestic,2024-06-18T00:00:00,57640,165,True
VIN100166,WorkTruck-T6,Commercial,White,Sport,ICE,2024-07-04T00:00:00,day,Line_2,Domestic,2024-07-21T00:00:00,93156,166,True
VIN100167,SportSedan-S2,Mid-size,Gray,Sport,ICE,2024-07-15T00:00:00,evening,Line_2,Premium Export,2024-08-12T00:00:00,74602,167,True
VIN100168,SportSedan-S2,Mid-size,Black,Luxury,ICE,2024-11-09T00:00:00,day,Line_1,Domestic,2024-11-27T00:00:00,52642,168,True
VIN100169,EcoSedan-X1,Compact,Blue,Luxury,Hybrid,2024-01-11T00:00:00,evening,Line_1,Domestic,2024-02-03T00:00:00,48892,169,False
VIN100170,FamilySUV-M3,SUV,White,Sport,ICE,2024-09-24T00:00:00,night,Line_2,Export,2024-10-14T00:00:00,51355,170,True
VIN100171,FamilySUV-M3,SUV,Other,Base,Hybrid,2024-12-05T00:00:00,day,Line_2,Domestic,2024-12-27T00:00:00,74885,171,True
VIN100172,SportSedan-S2,Mid-size,Black,Base,ICE,2024-07-06T00:00:00,day,Line_2,Domestic,2024-07-22T00:00:00,91621,172,True
VIN100173,EcoSedan-X1,Compact,Black,Sport,ICE,2024-07-19T00:00:00,day,Line_1,Export,2024-08-16T00:00:00,93660,173,True
VIN100174,CityHatch-C5,Compact,White,Luxury,ICE,2024-06-10T00:00:00,evening,Line_1,Domestic,2024-07-19T00:00:00,86644,174,True
VIN100175,EcoSedan-X1,Compact,Black,Sport,Hybrid,2024-02-05T00:00:00,day,Line_1,Domestic,2024-03-11T00:00:00,77400,175,True
VIN100176,EcoSedan-X1,Compact,Black,Base,Hybrid,2024-10-14T00:00:00,day,Line_1,Export,2024-11-06T00:00:00,54614,176,False
VIN100177,CityHatch-C5,Compact,White,Base,ICE,2024-06-14T00:00:00,night,Line_2,Domestic,2024-07-12T00:00:00,84235,177,True
VIN100178,FamilySUV-M3,SUV,Black,Sport,ICE,2024-11-15T00:00:00,evening,Line_1,Export,2024-12-09T00:00:00,101125,178,True
VIN100179,CityHatch-C5,Compact,White,Base,ICE,2024-11-07T00:00:00,day,Line_2,Domestic,2024-12-18T00:00:00,79871,179,True
VIN100180,CityHatch-C5,Compact,Gray,Luxury,ICE,2024-10-25T00:00:00,day,Line_1,Domestic,2024-11-12T00:00:00,46146,180,True
